ATC;Kód;GP;Názov;Doplnok;Konečná c.;ŠDL;JD
R03DC03;20345;X;Spiromon 10 mg filmom obalené tablety;tbl flm 98x10 mg (blis.nylon/Alu/PVC);17,25;10;mg
R03DC03;20356;X;Spiromon 4 mg žuvacie tablety;tbl mnd 28x4 mg (blis.nylon/Alu/PVC);5,07;10;mg
R03DC03;20349;X;Spiromon 5 mg žuvacie tablety;tbl mnd 28x5 mg (blis.nylon/Alu/PVC);6,14;10;mg
J02AC02;94897;X;SPORANOX;cps 15x100 mg (blis.PVC/LDPE/PVDC/Al);11,23;0,2;g
L01XE06;37369;X;SPRYCEL 70 mg filmom obalené tablety;tbl flm 60x70 mg (fľ.HDPE);3016,38;140;mg
C09CA06;10510;X;Stadacand 16 mg;tbl 30x16 mg (blis.PVC/PVDC/Al);4,8;8;mg
C09CA06;10517;X;Stadacand 16 mg;tbl 98x16 mg (blis.PVC/PVDC/Al);12,8;8;mg
C09CA06;10533;X;Stadacand 32 mg;tbl 30x32 mg (blis.PVC/PVDC/Al);12,46;8;mg
C09CA06;10538;X;Stadacand 32 mg;tbl 98x32 mg (blis.PVC/PVDC/Al);33,14;8;mg
C09CA06;10496;X;Stadacand 8 mg;tbl 98x8 mg (blis.PVC/PVDC/Al);12,5;8;mg
C09DA06;10474;;Stadacand Plus;tbl 30x16 mg/12,5 mg (blis.PVC/PVDC/Al);6,26;1;DF
C09DA06;10479;;Stadacand Plus;tbl 98x16 mg/12,5 mg (blis.PVC/PVDC/Al);14,6;1;DF
A10BA02;95281;X;STADAMET;tbl flm 120x1000 mg (blis.PVC/Al);5,6;2;g
A10BA02;95278;X;STADAMET;tbl flm 60x1000 mg (blis.PVC/Al);2,75;2;g
A10BA02;34295;X;Stadamet 500;tbl flm 120x500 mg (blis.PVC/Al);3,57;2;g
A10BA02;34289;X;Stadamet 500;tbl flm 60x500 mg (blis.PVC/Al);1,79;2;g
A10BA02;34294;X;Stadamet 850;tbl flm 120x850 mg (blis.PVC/Al);3,99;2;g
A10BA02;34292;X;Stadamet 850;tbl flm 60x850 mg (blis.PVC/Al);3,04;2;g
C09BA06;41890;;STADAPRESS 10/12,5 mg;tbl flm 100x10 mg/12,5 mg (blis.Al/PA/PVC);9,7;1;DF
C09BA06;41885;;STADAPRESS 10/12,5 mg;tbl flm 30x10 mg/12,5 mg (blis.Al/PA/PVC);3,59;1;DF
C09BA06;41901;;STADAPRESS 20/12,5 mg;tbl flm 100x20 mg/12,5 mg (blis.Al/PA/PVC);13,02;1;DF
C09BA06;41896;;STADAPRESS 20/12,5 mg;tbl flm 30x20 mg/12,5 mg (blis.Al/PA/PVC);3,51;1;DF
B01AC06;5131A;X;STADAPYRIN 100 mg;tbl ent 120x100 mg (blis.PVC/Al);6,34;1;DF
B01AC06;3492A;X;STADAPYRIN 100 mg;tbl ent 60x100 mg (blis.PVC/Al);3,07;1;DF
V03A;24546;;Stafal;sol der 1x10 ml (fľ.skl.);88,32;10;ml
V01AA20;95607;;Staloral 300;sol slg 2x10 ml (2x300 IR/ ml) (fľ.skl.hnedá-udržiavacia liečba);64,08;1;DF
V01AA20;95606;;Staloral 300;sol slg 3x10 ml (1x10 IR/1 ml+2x300 IR/1 ml) (fľ.skl.hnedá-úvodná liečba);66,15;1;DF
C02KX01;6347A;X;STAYVEER 125 mg filmom obalené tablety;tbl flm 56x125 mg (blis.PVC/PE/PVDC/Al);725,43;250;mg
L04AC05;1883C;;STELARA 130 mg koncentrát na infúzny roztok;con inf 1x26 ml/130 mg (liek.inj.skl.);2368,78;0,54;mg
L04AC05;87597;;STELARA 45 mg injekčný roztok naplnený v injekčnej striekačke;sol iru 1x0,5 ml/45 mg (striek.skl.napln.);2342,47;0,54;mg
L04AC05;87598;;STELARA 90 mg injekčný roztok naplnený v injekčnej striekačke;sol iru 1x1,0 ml/90 mg (striek.skl.napln.);2368,78;0,54;mg
N05CF02;92191;X;STILNOX;tbl flm 14x10mg (blis. PVC/AL);2,12;10;mg
J05AR09;6113A;;Stribild 150 mg/150 mg/200 mg/245 mg filmom obalené tablety;tbl flm 30x150 mg/150 mg/200 mg/245 mg (fľ.HDPE);768,14;1;DF
R03AC19;0880D;;Striverdi Respimat;sol ihl 1x60 vstrekov (1xnáplň PE/PP+1 opakovane použ.inhalátor);28,07;5;mcg
N02AB03;9550D;;Submena 100 mikrogramov sublingválne tablety;tbl slg 30x1x100 µg (blis.PA/Al/PVC/Al/PET);68,63;1;DF
N02AB03;9553D;;Submena 200 mikrogramov sublingválne tablety;tbl slg 30x1x200 µg (blis.PA/Al/PVC/Al/PET);68,63;1;DF
N02AB03;9556D;;Submena 400 mikrogramov sublingválne tablety;tbl slg 30x1x400 µg (blis.PA/Al/PVC/Al/PET);74,26;1;DF
A07EC01;4304;X;Sulfasalazin-EN;tbl ent 100x500 mg (blis.PVC/Al);14,14;2;g
A10AE54;3451C;;Suliqua 100 jednotiek/ml + 33 mikrogramov/ml injekčný roztok v naplnenom pere;sol inj 5x300 U/3 ml + 100 µg/3 ml (náplň skl. v pere);92,6;40;IU
A10AE54;3449C;;Suliqua 100 jednotiek/ml + 50 mikrogramov/ml injekčný roztok v naplnenom pere;sol inj 5x300 U/3 ml + 150 µg/3 ml (náplň skl. v pere);161,38;40;IU
N05AL01;33145;X;SULPIRID BELUPO 200 mg;cps 24x200 mg (liek.PP);6,7;0,8;g
N05AL01;15274;X;SULPIRID BELUPO 50 mg;cps 30x50 mg (blis.Al/PVC);2,72;0,8;g
J01FA10;93590;X;Sumamed;cps dur 6x250 mg (blis.PVC/PVDC/Al);7,21;0,3;g
J01FA10;96811;X;Sumamed;plv sir 1x20 ml (fľ.HDPE);4,7;0,3;g
J01FA10;96819;X;Sumamed 125 mg;tbl flm 6x125 mg (blis. PVC/Al);5,77;0,3;g
J01FA10;96813;X;Sumamed 500 mg;tbl flm 3x500 mg (blis. PVC/Al);5,98;0,3;g
J01FA10;37070;X;Sumamed forte;plv sir 1x15 ml (fľ.HDPE);5,21;0,3;g
J01FA10;26538;X;Sumamed forte;plv sir 1x30 ml (fľ.HDPE);9,29;0,3;g
J01FA10;37071;X;Sumamed forte;plv sir 1x37,5 ml (fľ.HDPE);12,91;0,3;g
N02CC01;96249;X;Sumatriptan Sandoz 100 mg tablety;tbl 4x100 mg (blis.Al/Al);5,99;0,05;g
N02CC01;96170;X;Sumatriptan Sandoz 50 mg tablety;tbl 12x50 mg (blis.Al/Al);6,31;0,05;g
N02CC01;96168;X;Sumatriptan Sandoz 50 mg tablety;tbl 6x50 mg (blis.Al/Al);3,93;0,05;g
L01EX01;7317D;X;Sunitinib Accord 12,5 mg tvrdé kapsuly;cps dur 30x12,5 mg (fľ.HDPE);592,9;50;mg
L01EX01;7320D;X;Sunitinib Accord 25 mg tvrdé kapsuly;cps dur 30x25 mg (fľ.HDPE);1213,81;50;mg
L01EX01;7326D;X;Sunitinib Accord 50 mg tvrdé kapsuly;cps dur 30x50 mg (fľ.HDPE);2428,42;50;mg
L01EX01;6606D;X;Sunitinib G.L. Pharma 12,5 mg tvrdé kapsuly;cps dur 30x12,5 mg (blis.Al/OPA/AL/PVC);620,9;50;mg
L01EX01;6608D;X;Sunitinib G.L. Pharma 25 mg tvrdé kapsuly;cps dur 30x25 mg (blis.Al/OPA/AL/PVC);1241,81;50;mg
L01EX01;6610D;X;Sunitinib G.L. Pharma 50 mg tvrdé kapsuly;cps dur 30x50 mg (blis.Al/OPA/AL/PVC);2456,42;50;mg
L01EX01;7971D;X;Sunitinib Glenmark 12,5 mg tvrdé kapsuly;cps dur 30x12,5 mg (fľ.HDPE);592,9;50;mg
L01EX01;7973D;X;Sunitinib Glenmark 25 mg tvrdé kapsuly;cps dur 30x25 mg (fľ.HDPE);1213,81;50;mg
L01EX01;7977D;X;Sunitinib Glenmark 50 mg tvrdé kapsuly;cps dur 30x50 mg (fľ.HDPE);2428,42;50;mg
L01EX01;7807D;X;Sunitinib Krka 12,5 mg tvrdé kapsuly;cps dur 30x1x12,5 mg (blis.OPA/Al/PE/Al-jednotliv.dáv.);592,9;50;mg
L01EX01;7815D;X;Sunitinib Krka 25 mg tvrdé kapsuly;cps dur 30x1x25 mg (blis.OPA/Al/PE/Al-jednotliv.dáv.);1213,81;50;mg
L01EX01;7823D;X;Sunitinib Krka 50 mg tvrdé kapsuly;cps dur 30x1x50 mg (blis.OPA/Al/PE/Al-jednotliv.dáv.);2428,42;50;mg
L01EX01;2075D;X;Sunitinib Mylan 12,5 mg;cps dur 30x12,5 mg (fľ.HDPE);592,9;50;mg
L01EX01;2078D;X;Sunitinib Mylan 25 mg;cps dur 30x25 mg (fľ.HDPE);1213,81;50;mg
L01EX01;2084D;X;Sunitinib Mylan 50 mg;cps dur 30x50 mg (fľ.HDPE);2428,42;50;mg
L01EX01;7789D;X;Sunitinib Pharmagen 12,5 mg;cps dur 30x12,5 mg (fľ.HDPE);620,9;50;mg
L01EX01;7791D;X;Sunitinib Pharmagen 25 mg;cps dur 30x25 mg (fľ.HDPE);1241,81;50;mg
L01EX01;7793D;X;Sunitinib Pharmagen 50 mg;cps dur 30x50 mg (fľ.HDPE);2456,42;50;mg
L01EX01;1746D;X;Sunitinib Sandoz 12,5 mg tvrdé kapsuly;cps dur 30x12,5 mg (blis.Al/OPA/Al/PVC);592,9;50;mg
L01EX01;1763D;X;Sunitinib Sandoz 25 mg tvrdé kapsuly;cps dur 30x25 mg (blis.Al/OPA/Al/PVC);1213,81;50;mg
L01EX01;1780D;X;Sunitinib Sandoz 50 mg tvrdé kapsuly;cps dur 30x50 mg (blis.Al/OPA/Al/PVC);2428,42;50;mg
L01EX01;6108D;X;Sunitinib STADA 12,5 mg;cps dur 30x1x12,5 mg (blis.Al/OPA/Al/PVC-jednotliv.dáv.);592,9;50;mg
L01EX01;6111D;X;Sunitinib STADA 25 mg;cps dur 30x1x25 mg (blis.Al/OPA/Al/PVC-jednotliv.dáv.);1213,81;50;mg
L01EX01;6113D;X;Sunitinib STADA 50 mg;cps dur 30x1x50 mg (blis.Al/OPA/Al/PVC-jednotliv.dáv.);2428,42;50;mg
L01EX01;8233C;X;Sunitinib Teva 12,5 mg tvrdé kapsuly;cps dur 30x1x12,5 mg (blis.PVC/Aclar/PVC/Al);592,9;50;mg
L01EX01;8238C;X;Sunitinib Teva 25 mg tvrdé kapsuly;cps dur 30x1x25 mg (blis.PVC/Aclar/PVC/Al);1213,81;50;mg
L01EX01;8243C;X;Sunitinib Teva 50 mg tvrdé kapsuly;cps dur 30x1x50 mg (blis.PVC/Aclar/PVC/Al);2428,42;50;mg
L01EX01;4795D;X;Sunitinib Xantis 12,5 mg tvrdé kapsuly;cps dur 30x12,5 mg (blis.Al/OPA/Al/PVC);592,9;50;mg
L01EX01;4816D;X;Sunitinib Xantis 25 mg tvrdé kapsuly;cps dur 30x25 mg (blis.Al/OPA/Al/PVC);1213,81;50;mg
L01EX01;4858D;X;Sunitinib Xantis 50 mg tvrdé kapsuly;cps dur 30x50 mg (blis.Al/OPA/Al/PVC);2428,42;50;mg
L01EX01;6184D;X;Sunitinib Zentiva 12,5 mg;cps dur 30x12,5 mg (fľ.HDPE);592,9;50;mg
L01EX01;6188D;X;Sunitinib Zentiva 25 mg;cps dur 30x25 mg (fľ.HDPE);1213,81;50;mg
L01EX01;6196D;X;Sunitinib Zentiva 50 mg;cps dur 30x50 mg (fľ.HDPE);2428,42;50;mg
J01DD08;26460;X;SUPRAX;plv sus 1x50 ml/1 g (fľ.skl.);6,99;0,4;g
J01DD08;26461;X;SUPRAX;tbl flm 10x200 mg (blis.PVC/PVDC/Al);12,3;0,4;g
J01DD08;2356;X;SUPRAX 400 mg dispergovateľné tablety;tbl dsp 7x400 mg (blis.PVC/PVDC/Al);18,24;0,4;g
C10AB05;42080;X;SUPRELIP;cps dur 30x200 mg (blis. PVC/Al);5,93;0,2;g
J04AK02;3023;X;SURAL 400 mg;tbl 100x400 mg;12,59;1,2;g
L01EX01;35915;X;Sutent 12,5 mg tvrdé kapsuly;cps dur 30x12,5 mg (fľ. HDPE);592,9;50;mg
L01EX01;35916;X;Sutent 25 mg tvrdé kapsuly;cps dur 30x25 mg (fľ. HDPE);1213,81;50;mg
L01EX01;35917;X;Sutent 50 mg tvrdé kapsuly;cps dur 30x50 mg (fľ. HDPE);2428,42;50;mg
R03AK07;13227;;Symbicort Turbuhaler 200 mikrogramov/6 mikrogramov/inhalácia;plv inh 1x120 dávok (inhal.plast.);28,73;3;DF
R03AK07;33770;;Symbicort Turbuhaler forte 400 mikrogramov/12 mikrogramov/inhalácia;plv inh 1x60 dávok (inhal.plast.);29,37;2;DF
R03AK07;13225;;Symbicort Turbuhaler mite 100 mikrogramov/6 mikrogramov/inhalácia;plv inh 1x120 dávok (inhal.plast.);32,41;3;DF
J06BB16;7768B;;Synagis 100 mg/ml injekčný roztok;sol inj 1x0,5 ml/50 mg (liek.inj.skl.);422,83;50;mg
J07AL52;69867;;Synflorix injekčná suspenzia v naplnenej injekčnej striekačke;sus inj 10x0,5 ml (10 napl.inj.striek. + 10 ihiel);392,84;0,5;ml
A10BD20;4825B;;Synjardy 12,5 mg/1000 mg filmom obalené tablety;tbl flm 180(2x90x1)x12,5 mg/1000 mg (blis.PVC/PVDC/Al-perf.);134,1;2;DF
A10BD20;4822B;;Synjardy 12,5 mg/1000 mg filmom obalené tablety;tbl flm 60x1x12,5 mg/1000 mg (blis.PVC/PVDC/Al-perf.);42,32;2;DF
A10BD20;4807B;;Synjardy 5 mg/1000 mg filmom obalené tablety;tbl flm 180(2x90x1)x5 mg/1000 mg (blis.PVC/PVDC/Al-perf.);130,58;2;DF
A10BD20;4804B;;Synjardy 5 mg/1000 mg filmom obalené tablety;tbl flm 60x1x5 mg/1000 mg (blis.PVC/PVDC/Al-perf.);42,32;2;DF
A10BD20;4795B;;Synjardy 5 mg/850 mg filmom obalené tablety;tbl flm 60x1x5 mg/850 mg (blis.PVC/PVDC/Al-perf.);43,9;2;DF
N07AA01;25037;X;SYNTOSTIGMIN;tbl 20x15 mg (blis.);3,56;60;mg
L04AD02;7298C;;Tacforius 0,5 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x1x0,5 mg (blis.PVC/PVDC/Al-jednotk.dávka);8,96;5;mg
L04AD02;7308C;;Tacforius 1 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 60x1x1 mg (blis.PVC/PVDC/Al-jednotk.dávka);35,82;5;mg
L04AD02;7312C;;Tacforius 3 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x1x3 mg (blis.PVC/PVDC/Al-jednotk.dávka);49,03;5;mg
L04AD02;7318C;;Tacforius 5 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x1x5 mg (blis.PVC/PVDC/Al-jednotk.dávka);84,54;5;mg
G04BE08;0596D;;Tadalafil AOP 20 mg filmom obalené tablety;tbl flm 56x20 mg (blis.PVC/PVDC/Al);175,94;40;mg
N04BA03;3913B;;TADOGLEN 100 mg/25 mg/200 mg;tbl flm 100x100 mg/25 mg/200 mg (fľ.HDPE);30,67;600;mg
N04BA03;3919B;;TADOGLEN 150 mg/37,5 mg/200 mg;tbl flm 100x150 mg/37,5 mg/200 mg (fľ.HDPE);29,29;600;mg
N04BA03;3907B;;TADOGLEN 50 mg/12,5 mg/200 mg;tbl flm 100x50 mg/12,5 mg/200 mg (fľ.HDPE);28,87;600;mg
L01EC02;6956A;;Tafinlar 75 mg tvrdé kapsuly;cps dur 120x75 mg (fľ.HDPE);5239,06;300;mg
S01EE05;78611;;TAFLOTAN;int opo 30 (3x10)x0,3 ml/4,5 µg (obal LDPE jednodávk.);14,15;0,3;ml
S01EE05;78612;;TAFLOTAN;int opo 90 (9x10)x0,3 ml/4,5 µg (obal LDPE jednodávk.);48,4;0,3;ml
L01EB04;8020B;;TAGRISSO 80 mg filmom obalené tablety;tbl flm 30x1x80 mg (blis.Al/Al-perf.);5788,98;80;mg
B06AC05;9987C;;TAKHZYRO 300 mg injekčný roztok;sol inj 1x2 ml/300 mg (liek.inj.skl.);13505,54;300;mg
C07AG02;2806D;X;Talliton 12,5 mg;tbl 30x12,5 mg (blis.OPA/Al/PVC/AL);1,92;37,5;mg
C07AG02;2807D;X;Talliton 12,5 mg;tbl 60x12,5 mg (blis.OPA/Al/PVC/AL);3,9;37,5;mg
C07AG02;2808D;X;Talliton 25 mg;tbl 30x25 mg (blis.OPA/Al/PVC/AL);3,62;37,5;mg
C07AG02;2809D;X;Talliton 25 mg;tbl 60x25 mg (blis.OPA/Al/PVC/AL);6,85;37,5;mg
C07AG02;2804D;X;Talliton 6,25 mg;tbl 30x6,25 mg (blis.OPA/Al/PVC/AL);1,18;37,5;mg
C07AG02;2805D;X;Talliton 6,25 mg;tbl 60x6,25 mg (blis.OPA/Al/PVC/AL);2,39;37,5;mg
N03AX11;83271;X;Talopam 100 mg;tbl flm 60x100 mg (blis.Al/Al);19,12;0,3;g
N03AX11;83244;X;Talopam 25 mg;tbl flm 60x25 mg (blis.Al/Al);6,43;0,3;g
N03AX11;83256;X;Talopam 50 mg;tbl flm 60x50 mg (blis.Al/Al);8,84;0,3;g
L04AC13;9372B;;Taltz 80 mg injekčný roztok naplnený v pere;sol ira 2x1 ml/80 mg (striek.inj.skl. v pere);2084;2,86;mg
C09BB07;0856C;;Tamayra 10 mg/5 mg tvrdé kapsuly;cps dur 28x10 mg/5 mg (blis.PA/Al/PVC/Al);4,71;1;DF
C09BB07;0854C;;Tamayra 5 mg/5 mg tvrdé kapsuly;cps dur 28x5 mg/5 mg (blis.PA/Al/PVC/Al);3,17;1;DF
G04CA52;4739D;;TAMED;cps dur 90x0,5 mg/0,4 mg (blis.Al/Al);38,04;1;DF
L02BA01;58701;X;"TAMOXIFEN ""EBEWE""  10 mg";tbl 100x10 mg (liek.PP);8,63;20;mg
L02BA01;58702;X;"TAMOXIFEN ""EBEWE"" 20 mg";tbl 100x20 mg (liek.PP);18,82;20;mg
G04CA02;95320;X;Tamsulosin HCL Mylan 0,4 mg;cps mdd 100x0,4 mg (blis.PVC/PE/PVDC/Al);9,86;0,4;mg
G04CA02;95374;X;Tamsulosin-Teva 0,4 mg;cps mdd 100x0,4 mg (blis. PVC/PE/PVDC/Al);9,86;0,4;mg
G04CA02;37233;X;Tamurox 0,4 mg kapsuly s predĺženým uvoľňovaním;cps plg 100x0,4 mg (blis.PVC/PVDC/Al);11,49;0,4;mg
C09AA16;64711;X;Tanatril 10 mg;tbl 30x10 mg (blis.PVDC/Al);9,94;5;mg
G04CA02;95363;X;Tanyz;cps mdd 100x0,4 mg (blis.PVC/PE/PVDC/Al);13,42;0,4;mg
S01ED51;2756B;;TAPTIQOM 15 mikrogramov/ml+5 mg/ml očná roztoková instilácia v jednodávkovom obale;int opo 30x0,3 ml (obal LDPE jednodávkový);20,16;0,3;ml
L01XE03;94490;X;Tarceva 150 mg filmom obalené tablety;tbl flm 30x150 mg (blis.PVC/Al);1409,41;150;mg
B03AA07;9783;X;TARDYFERON;tbl plg 30x250 mg;2,7;0,1;g
B03AD03;66805;;TARDYFERON-FOL;tbl plg 30;3,22;0,1;g
N02AA55;22813;;Targin 10/5 mg tablety s predĺženým uvoľňovaním;tbl plg 60x10 mg/5 mg (blis.PVC/Al);23,37;2;DF
N02AA55;22824;;Targin 20/10 mg tablety s predĺženým uvoľňovaním;tbl plg 60x20 mg/10 mg (blis.PVC/Al);42,08;2;DF
N02AA55;22835;;Targin 40/20 mg tablety s predĺženým uvoľňovaním;tbl plg 60x40 mg/20 mg (blis.PVC/Al);78,05;2;DF
N02AA55;22802;;Targin 5/2,5 mg tablety s predĺženým uvoľňovaním;tbl plg 60x5 mg/2,5 mg (blis.PVC/Al);15,15;2;DF
L01XX25;98994;X;Targretin 75 mg mäkké kapsuly;cps mol 100x75 mg (fľ.HDPE);768,91;300;mg/m2
C09BB10;43044;;Tarka 180 mg/2 mg tablety;tbl flm 28x180 mg/2 mg (blis.PVC/PVDC/Al);10,65;1;DF
C09BB10;37378;;TARKA 240 mg/2 mg tablety;tbl flm 28x240 mg/2 mg (blis.PVC/PVDC/Al);12,98;1;DF
C09BB10;37381;;TARKA 240 mg/2 mg tablety;tbl flm 56x240 mg/2 mg (blis.PVC/PVDC/Al);22,57;1;DF
C09BB10;37385;;Tarka 240 mg/4 mg tablety;tbl flm 28x240 mg/4 mg (blis.PVC/PVDC/Al);17,2;1;DF
C09BB10;37388;;TARKA 240 mg/4 mg tablety;tbl flm 56x240 mg/4 mg (blis.PVC/PVDC/Al);27,6;1;DF
L01XE08;11645;X;Tasigna 150 mg tvrdé kapsuly;cps dur 120(3x40)x150 mg (blis.PVC/PVDC/Al);2508,04;600;mg
L01XE08;11647;X;Tasigna 200 mg tvrdé kapsuly;cps dur 120(3x40)x200 mg (blis.PVC/PVDC/Al);2849,79;800;mg
J01DD01;7240C;;TAXIMED 1 g;plo ijf 10x1 g (liek.inj.skl.);23,54;4;g
L04AX07;9681A;X;Tecfidera 120 mg tvrdé gastrorezistentné kapsuly;cps end 14x120 mg (blis.PVC/PE/PVDC-PVC/alu);111,76;480;mg
L04AX07;9682A;X;Tecfidera 240 mg tvrdé gastrorezistentné kapsuly;cps end 56x240 mg (blis.PVC/PE/PVDC-PVC/alu);852,79;480;mg
G04CA52;2436D;;Tedez;cps dur 90x0,5 mg/0,4 mg (fľ.HDPE);38,04;1;DF
N03AF01;92039;X;Tegretol CR 200;tbl mod 50x200 mg;3,01;1;g
N03AF01;93619;X;Tegretol CR 400;tbl mod 30x400 mg;4,37;1;g
D11A;24705;;TEKUTÝ PÚDER;sus der 1x100 g (fľ.PE);1,75;1;g
D11A;15620;;Tekutý púder s 1 % mentolu;sus der 1x100 g;1,92;1;g
D11A;24702;;TEKUTÝ PÚDER S MENTOLOM;sus der 1x100 g (fľ.PE);1,88;1;g
D11A;15616;;Tekutý púder VULM;sus der 1x100 g (fľ.PE);2,62;1;g
C09DB04;2026C;;Teldipin 40 mg/10 mg tablety;tbl 28x40 mg/10 mg (blis.OPA/Al/PVC/Al);5,71;1;DF
C09DB04;2018C;;Teldipin 40 mg/5 mg tablety;tbl 28x40 mg/5 mg (blis.OPA/Al/PVC/Al);5,56;1;DF
C09DB04;2042C;;Teldipin 80 mg/10 mg tablety;tbl 28x80 mg/10 mg (blis.OPA/Al/PVC/Al);7,73;1;DF
C09DB04;2047C;;Teldipin 80 mg/10 mg tablety;tbl 90x80 mg/10 mg (blis.OPA/Al/PVC/Al);23,15;1;DF
C09DB04;2034C;;Teldipin 80 mg/5 mg tablety;tbl 28x80 mg/5 mg (blis.OPA/Al/PVC/Al);7,77;1;DF
C09DB04;2039C;;Teldipin 80 mg/5 mg tablety;tbl 90x80 mg/5 mg (blis.OPA/Al/PVC/Al);23,09;1;DF
C09DA07;1553D;;Telhycar 80 mg/12,5 mg tablety;tbl 28x80 mg/12,5 mg (blis.OPA/Al/PVC/Al);5,98;1;DF
C09DA07;1555D;;Telhycar 80 mg/25 mg tablety;tbl 28x80 mg/25 mg (blis.OPA/Al/PVC/Al);6,05;1;DF
C09CA07;7040;X;Telmark 80 mg;tbl flm 28x80 mg (blis.Al/Al);2,78;40;mg
C09CA07;7045;X;Telmark 80 mg;tbl flm 98x80 mg (blis.Al/Al);11,4;40;mg
C09DA07;7049A;;Telmark Plus 80 mg/12,5 mg;tbl 30x80 mg/12,5 mg (blis.Al/Al);7,56;1;DF
C09DA07;7052A;;Telmark Plus 80 mg/12,5 mg;tbl 90x80 mg/12,5 mg (blis.Al/Al);19,18;1;DF
C09CA07;1585;X;Telmisartan Actavis 40 mg tablety;tbl 28x40 mg (blis.Al/Al);3,49;40;mg
C09CA07;1590;X;Telmisartan Actavis 40 mg tablety;tbl 90x40 mg (blis.Al/Al);10,19;40;mg
C09CA07;1604;X;Telmisartan Actavis 80 mg tablety;tbl 28x80 mg (blis.Al/Al);4,68;40;mg
C09CA07;1609;X;Telmisartan Actavis 80 mg tablety;tbl 90x80 mg (blis.Al/Al);11,8;40;mg
C09CA07;2340A;X;Telmisartan EGIS 40 mg;tbl flm 30x40 mg (blis.Al/Al);4,19;40;mg
C09CA07;2345A;X;Telmisartan EGIS 40 mg;tbl flm 98x40 mg (blis.Al/Al);12,67;40;mg
C09CA07;2349A;X;Telmisartan EGIS 80 mg;tbl flm 30x80 mg (blis.Al/Al);5,56;40;mg
C09CA07;2354A;X;Telmisartan EGIS 80 mg;tbl flm 98x80 mg (blis.Al/Al);17,12;40;mg
C09CA07;21186;X;Telmisartan ratiopharm 40 mg;tbl 28x40 mg (blis.Al/Al);3,48;40;mg
C09CA07;1051;X;Telmisartan Sandoz 40 mg tablety;tbl 28x40 mg (blis.Al/Al);3,01;40;mg
C09CA07;1096;X;Telmisartan Sandoz 80 mg tablety;tbl 28x80 mg (blis.Al/Al);4,29;40;mg
C09CA07;1108;X;Telmisartan Sandoz 80 mg tablety;tbl 90x80 mg (blis.Al/Al);11,8;40;mg
C09CA07;7752C;X;Telmisartan Xantis 40 mg;tbl 28x40 mg (blis.Al/Al);1,54;40;mg
C09CA07;7773C;X;Telmisartan Xantis 80 mg;tbl 98x80 mg (blis.Al/Al);10,25;40;mg
C09DA07;4928A;;Telmisartan/Hydrochlorotiazid EGIS 80 mg/12,5 mg;tbl 28x80 mg/12,5 mg (blis.Al/Al);7,03;1;DF
C09DA07;4929A;;Telmisartan/Hydrochlorotiazid EGIS 80 mg/12,5 mg;tbl 56x80 mg/12,5 mg (blis.Al/Al);12,07;1;DF
C09DA07;4934A;;Telmisartan/Hydrochlorotiazid EGIS 80 mg/25 mg;tbl 28x80 mg/25 mg (blis.Al/Al);7,79;1;DF
C09DA07;4935A;;Telmisartan/Hydrochlorotiazid EGIS 80 mg/25 mg;tbl 56x80 mg/25 mg (blis.Al/Al);14,76;1;DF
C09DA07;5431A;;Telmisartan/Hydrochlorotiazid Sandoz 80 mg/12,5 mg;tbl obd 28x80 mg/12,5 mg (blis.Al/Al);5,77;1;DF
C09DA07;5437A;;Telmisartan/Hydrochlorotiazid Sandoz 80 mg/12,5 mg;tbl obd 90x80 mg/12,5 mg (blis.Al/Al);14,48;1;DF
C09DA07;5442A;;Telmisartan/Hydrochlorotiazid Sandoz 80 mg/25 mg;tbl obd 28x80 mg/25 mg (blis.Al/Al);5,92;1;DF
C09DA07;7477A;;Telmisartan/Hydrochlorotiazid Xantis 80 mg/12,5 mg;tbl 28x80 mg/12,5 mg(blis.Al/Al);5,77;1;DF
C09DA07;7486A;;Telmisartan/Hydrochlorotiazid Xantis 80 mg/12,5 mg;tbl 98x80 mg/12,5 mg(blis.Al/Al);14,51;1;DF
C09DA07;7498A;;Telmisartan/Hydrochlorotiazid Xantis 80 mg/25 mg;tbl 28x80 mg/25 mg (blis.Al/Al);5,92;1;DF
J05AB01;14758;X;Telviran 400 mg;tbl 35(7x5)x400 mg (blis.Al/PVC);18,06;4;g
L01AX03;86632;X;Temomedac 100 mg tvrdé kapsuly;cps dur 5x100 mg (fľa.skl.);49,99;350;mg
L01AX03;86635;X;Temomedac 140 mg tvrdé kapsuly;cps dur 5x140 mg (fľa.skl.);102,1;350;mg
L01AX03;86630;X;Temomedac 20 mg tvrdé kapsuly;cps dur 5x20 mg (fľa.skl.);14,73;350;mg
L01AX03;88982;X;TEMOSTAD 100 mg;cps dur 5x100 mg (fľ.sklo, jantár);49,99;350;mg
L01AX03;88984;X;TEMOSTAD 140 mg;cps dur 5x140 mg (fľ.sklo, jantár);97,21;350;mg
L01AX03;88980;X;TEMOSTAD 20 mg;cps dur 5x20 mg (fľ.sklo, jantár);17,39;350;mg
